0.138	0.209
0.137	0.211
0.136	0.213
0.136	0.214
0.135	0.215
0.135	0.217
0.134	0.217
0.134	0.218
0.134	0.22
0.133	0.22
0.133	0.221
0.133	0.222
0.133	0.223
0.132	0.224
0.132	0.225
0.132	0.226
0.132	0.227
0.131	0.228
0.131	0.229
0.131	0.23
0.131	0.231
0.131	0.232
0.131	0.233
0.131	0.234
0.131	0.235
0.131	0.236
0.132	0.236
0.132	0.237
0.132	0.238
0.133	0.238
0.134	0.239
0.135	0.24
0.137	0.242
0.138	0.243
0.139	0.244
0.14	0.245
0.141	0.245
0.142	0.246
0.143	0.246
0.144	0.247
0.145	0.247
0.145	0.248
0.146	0.248
0.148	0.249
0.148	0.25
0.149	0.25
0.15	0.25
0.151	0.251
0.152	0.251
0.153	0.251
0.154	0.251
0.155	0.251
0.156	0.251
0.157	0.251
0.158	0.251
0.16	0.251
0.161	0.25
0.162	0.249
0.163	0.248
0.164	0.248
0.165	0.246
0.166	0.245
0.167	0.244
0.167	0.243
0.168	0.242
0.169	0.241
0.169	0.24
0.169	0.239
0.17	0.238
0.17	0.236
0.171	0.236
0.171	0.235
0.172	0.234
0.172	0.233
0.172	0.232
0.172	0.231
0.172	0.23
0.172	0.228
0.172	0.226
0.172	0.224
0.172	0.222
0.172	0.22
0.172	0.219
0.172	0.217
0.172	0.215
0.172	0.214
0.172	0.213
0.171	0.212
0.171	0.211
0.17	0.21
0.169	0.207
0.168	0.206
0.167	0.205
0.166	0.203
0.165	0.202
0.164	0.202
0.163	0.201
0.162	0.199
0.161	0.199
0.16	0.198
0.159	0.197
0.159	0.196
0.158	0.195
0.157	0.195
0.156	0.193
0.155	0.192
0.154	0.191
0.153	0.191
0.152	0.19
0.151	0.189
0.15	0.188
0.149	0.187
0.149	0.186
0.146	0.184
0.145	0.183
0.144	0.182
0.143	0.181
0.142	0.18
0.141	0.179
0.141	0.178
0.14	0.178
0.14	0.177
0.139	0.176
0.139	0.175
0.138	0.174
0.137	0.173
0.136	0.171
0.136	0.17
0.135	0.169
0.135	0.168
0.135	0.167
0.135	0.166
0.134	0.165
0.133	0.163
0.132	0.161
0.131	0.158
0.13	0.156
0.13	0.155
0.13	0.154
0.129	0.153
0.129	0.152
0.128	0.151
0.128	0.15
0.128	0.149
0.127	0.148
0.127	0.147
0.127	0.145
0.127	0.144
0.126	0.143
0.126	0.142
0.126	0.141
0.126	0.14
0.126	0.139
0.126	0.138
0.126	0.137
0.126	0.136
0.126	0.135
0.126	0.134
0.126	0.133
0.126	0.132
0.126	0.13
0.126	0.129
0.126	0.128
0.126	0.126
0.126	0.125
0.126	0.124
0.127	0.123
0.127	0.122
0.127	0.121
0.128	0.12
0.128	0.119
0.128	0.118
0.129	0.118
0.13	0.116
0.13	0.115
0.131	0.114
0.132	0.114
0.132	0.113
0.133	0.112
0.134	0.111
0.135	0.11
0.136	0.109
0.137	0.109
0.138	0.108
0.139	0.107
0.141	0.106
0.142	0.106
0.144	0.105
0.145	0.104
0.146	0.104
0.147	0.104
0.149	0.103
0.151	0.103
0.153	0.102
0.154	0.102
0.155	0.102
0.157	0.102
0.158	0.102
0.159	0.102
0.16	0.102
0.161	0.102
0.162	0.101
0.164	0.101
0.166	0.101
0.167	0.101
0.169	0.101
0.171	0.101
0.172	0.1
0.173	0.1
0.175	0.1
0.177	0.1
0.178	0.1
0.179	0.1
0.181	0.1
