0.636423,1.56999,1.63729
0.651376,1.57793,1.63845
0.68079,1.592,1.64064
0.731147,1.61164,1.64417
0.804247,1.63104,1.64888
0.876993,1.64042,1.65317
0.97936,1.63732,1.65869
1.11594,1.60149,1.66527
1.20749,1.55238,1.66926
1.2909,1.48134,1.67258
1.37724,1.35184,1.67554
1.40166,1.28228,1.67611
1.41312,1.21999,1.67612
1.41534,1.15884,1.67568
1.41053,1.1094,1.67497
1.40539,1.08284,1.67445
1.39832,1.05623,1.6738
1.39774,1.05434,1.67375
1.39774,1.05434,1.67375
1.40302,1.064,1.66171
1.40948,1.07792,1.64448
1.41622,1.09672,1.62134
1.42362,1.14001,1.56767
1.41701,1.19338,1.49821
1.40746,1.21724,1.46455
1.38409,1.25092,1.41138
1.36612,1.2673,1.38097
1.3519,1.27695,1.36025
1.34658,1.27997,1.35304
1.34602,1.28028,1.3523
