1.81666,1.19237,0.991464
1.81666,1.19237,0.991464
1.81683,1.19237,0.991721
1.81683,1.19237,0.991721
1.81815,1.19237,0.993701
1.82028,1.19237,0.996978
1.82126,1.19237,0.998511
1.82353,1.19237,1.00215
1.82353,1.19237,1.00215
1.82622,1.19238,1.0066
1.82895,1.19238,1.01127
1.83118,1.19238,1.01522
1.83118,1.19238,1.01522
1.83299,1.19239,1.01851
1.83461,1.19239,1.02154
1.83532,1.19239,1.02289
1.83558,1.19239,1.02338
1.83558,1.19239,1.02338
1.83564,1.19195,1.02331
1.83601,1.18915,1.02289
1.83601,1.18915,1.02289
1.8373,1.17841,1.02125
1.83839,1.16725,1.01956
1.83935,1.1539,1.01755
1.83997,1.13932,1.01536
1.83997,1.13932,1.01536
1.84017,1.12401,1.01307
1.83984,1.10758,1.01062
1.83867,1.08742,1.00762
1.83867,1.08742,1.00762
1.83601,1.06217,1.00389
1.82893,1.02192,0.997973
1.82169,0.99328,0.993782
1.81188,0.962957,0.989359
1.81188,0.962957,0.989359
1.79929,0.931673,0.984806
1.78332,0.899267,0.980097
1.76393,0.866776,0.975377
1.76393,0.866776,0.975377
1.74009,0.833719,0.97057
1.71559,0.805337,0.966432
1.67839,0.77012,0.961281
1.65386,0.750961,0.958464
1.64164,0.74243,0.957205
1.62961,0.734637,0.956053
1.60687,0.721414,0.954095
1.5851,0.710477,0.952467
1.56404,0.701366,0.951109
1.56404,0.701366,0.951109
1.5465,0.694828,0.950131
1.5325,0.690258,0.949449
1.51392,0.685063,0.948674
1.51392,0.685063,0.948674
1.49739,0.681247,0.948107
1.49246,0.680254,0.94796
1.48384,0.678675,0.947728
1.4773,0.677614,0.947573
1.4773,0.677614,0.947573
1.47323,0.677006,0.947486
1.47168,0.676788,0.947454
1.47165,0.676787,0.947453
1.47165,0.676787,0.947453
1.47165,0.676784,0.947454
